hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,Discount,market_segment,Cost,meal
"City Hotel",1,147,2018,July,30,21,0,2,3,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,1,"No Deposit",1,NULL,0,Transient,99.5,0,0,Canceled,6/23/2018,0.1,Groups,12.99,BB
"City Hotel",1,206,2018,July,31,26,3,5,2,1,0,BB,PRT,"Online TA",TA/TO,0,1,0,D,D,0,"No Deposit",7,NULL,0,Transient,82.2,0,0,Canceled,6/25/2018,0.3,"Online TA",12.99,BB
"City Hotel",1,155,2018,July,27,2,2,5,2,0,0,BB,PRT,"Online TA",TA/TO,0,1,0,A,A,1,"No Deposit",9,NULL,0,Transient,76.5,0,1,Canceled,6/25/2018,0.3,"Online TA",12.99,BB
"City Hotel",1,156,2018,July,28,5,4,6,2,0,0,BB,PRT,"Online TA",TA/TO,0,1,0,A,A,0,"No Deposit",9,NULL,0,Transient,76.5,0,1,Canceled,6/26/2018,0.3,"Online TA",12.99,BB
"City Hotel",1,268,2018,July,29,12,2,1,2,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,1,0,A,A,0,"No Deposit",5,NULL,0,Transient,82,0,0,Canceled,6/26/2018,0.3,"Offline TA/TO",12.99,BB
"City Hotel",1,190,2018,July,28,10,2,2,2,0,0,BB,PRT,"Online TA",TA/TO,0,1,0,D,D,0,"No Deposit",7,NULL,0,Transient,65.29,0,0,Canceled,6/26/2018,0.3,"Online TA",12.99,BB
"City Hotel",1,219,2018,September,36,4,1,2,2,0,0,BB,PRT,"Offline TA/TO",TA/TO,0,1,0,A,A,0,"No Deposit",3,NULL,0,Transient-Party,80,0,0,Canceled,6/27/2018,0.3,"Offline TA/TO",12.99,BB
"City Hotel",1,149,2018,July,28,8,0,4,2,0,0,BB,PRT,"Online TA",TA/TO,0,1,0,A,A,0,"No Deposit",9,NULL,0,Transient,76.5,0,2,Canceled,6/29/2018,0.3,"Online TA",12.99,BB
"City Hotel",1,264,2018,July,28,8,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"No Deposit",1,NULL,0,Transient-Party,62,0,0,Canceled,6/29/2018,0.1,Groups,12.99,BB
"City Hotel",1,271,2018,July,29,15,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,"Non Refund",1,NULL,0,Transient-Party,62,0,0,Canceled,6/29/2018,0.1,Groups,12.99,BB
